locus_tag	ftype	length_bp	gene	EC_number	COG	product
PMUR_01333	tRNA	75				tRNA-Met(cat)
PMUR_01334	CDS	936				hypothetical protein
PMUR_01335	CDS	666				hypothetical protein
PMUR_01336	CDS	594	purH_2		COG0138	Bifunctional purine biosynthesis protein PurH
PMUR_01337	CDS	1023	mreB		COG1077	Rod shape-determining protein MreB
PMUR_01338	CDS	879				hypothetical protein
PMUR_01339	CDS	510				hypothetical protein
PMUR_01340	CDS	1842	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
PMUR_01341	CDS	1470	ftsW_1			Putative lipid II flippase FtsW
PMUR_01342	CDS	477	gldH			Gliding motility lipoprotein GldH
PMUR_01343	CDS	1377				hypothetical protein
PMUR_01344	CDS	1164				hypothetical protein
PMUR_01345	CDS	960	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
PMUR_01346	CDS	1983		3.2.1.55		Extracellular exo-alpha-L-arabinofuranosidase
PMUR_01347	CDS	1458	xylE_2			D-xylose-proton symporter
PMUR_01348	CDS	984				hypothetical protein
PMUR_01349	CDS	381				hypothetical protein
PMUR_01350	CDS	2592	clpB1		COG0542	Chaperone protein ClpB 1
PMUR_01351	CDS	4575				hypothetical protein
PMUR_01352	CDS	3477				hypothetical protein
PMUR_01353	CDS	2907				hypothetical protein
PMUR_01354	CDS	3381				hypothetical protein
PMUR_01355	CDS	1773				hypothetical protein
PMUR_01356	CDS	2139				hypothetical protein
PMUR_01357	CDS	1770				hypothetical protein
PMUR_01358	CDS	3285	susC_4			TonB-dependent receptor SusC
PMUR_01359	CDS	1893				hypothetical protein
PMUR_01360	CDS	1419	axeA1_1	3.1.1.72	COG0657	Acetylxylan esterase
PMUR_01361	CDS	4644				hypothetical protein
PMUR_01362	CDS	2001				hypothetical protein
PMUR_01363	CDS	900				hypothetical protein
PMUR_01364	CDS	957	kduI_2	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
PMUR_01365	CDS	1386	gatC		COG3775	PTS system galactitol-specific EIIC component
PMUR_01366	CDS	153				hypothetical protein
PMUR_01367	CDS	2844				hypothetical protein
PMUR_01368	CDS	396				hypothetical protein
PMUR_01369	CDS	537				hypothetical protein
PMUR_01370	CDS	453				hypothetical protein
PMUR_01371	CDS	1134				hypothetical protein
PMUR_01372	CDS	507	asnC_2		COG1522	Regulatory protein AsnC
PMUR_01373	CDS	480	dfrA	1.5.1.3	COG0262	Dihydrofolate reductase
PMUR_01374	CDS	795	thyA_2	2.1.1.45	COG0207	Thymidylate synthase
PMUR_01375	CDS	1413	rsmF	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
PMUR_01376	CDS	666				hypothetical protein
PMUR_01377	CDS	2004	ligA	6.5.1.2		DNA ligase
PMUR_01378	CDS	222				hypothetical protein
PMUR_01379	CDS	987				hypothetical protein
PMUR_01380	CDS	6351				hypothetical protein
PMUR_01381	CDS	522	gph_3	3.1.3.18		Phosphoglycolate phosphatase
PMUR_01382	CDS	1062				hypothetical protein
PMUR_01383	CDS	1470				hypothetical protein
PMUR_01384	CDS	1134	xerD_2			Tyrosine recombinase XerD
PMUR_01385	CDS	327				hypothetical protein
PMUR_01386	CDS	423				hypothetical protein
PMUR_01387	CDS	708				hypothetical protein
PMUR_01388	CDS	396				hypothetical protein
PMUR_01389	CDS	1305				hypothetical protein
PMUR_01390	CDS	435	arsC	1.20.4.4	COG0394	Arsenate reductase
PMUR_01391	CDS	456				hypothetical protein
PMUR_01392	CDS	903			COG0701	Putative two-component membrane permease complex subunit SMU_747c
PMUR_01393	CDS	396				hypothetical protein
PMUR_01394	CDS	1101				hypothetical protein
PMUR_01395	CDS	888				hypothetical protein
PMUR_01396	CDS	447				hypothetical protein
PMUR_01397	CDS	327				hypothetical protein
PMUR_01398	CDS	378				hypothetical protein
PMUR_01399	CDS	297				hypothetical protein
PMUR_01400	CDS	2715				hypothetical protein
PMUR_01401	CDS	2538				hypothetical protein
PMUR_01402	CDS	726				hypothetical protein
PMUR_01403	CDS	777				hypothetical protein
PMUR_01404	CDS	1134				hypothetical protein
PMUR_01405	CDS	615				hypothetical protein
PMUR_01406	CDS	369				hypothetical protein
PMUR_01407	CDS	483				hypothetical protein
PMUR_01408	CDS	1149				hypothetical protein
PMUR_01409	CDS	813	dpnA	2.1.1.72		Modification methylase DpnIIB
PMUR_01410	CDS	864				hypothetical protein
PMUR_01411	CDS	513				hypothetical protein
PMUR_01412	CDS	663				hypothetical protein
PMUR_01413	CDS	2187				hypothetical protein
PMUR_01414	CDS	210				hypothetical protein
PMUR_01415	CDS	1155	yhcG	3.1.-.-	COG4804	Putative nuclease YhcG
PMUR_01416	CDS	375				hypothetical protein
PMUR_01417	CDS	273				hypothetical protein
PMUR_01418	CDS	276				hypothetical protein
PMUR_01419	CDS	1740	noc			Nucleoid occlusion protein
PMUR_01420	CDS	252				hypothetical protein
PMUR_01421	CDS	756	soj_2	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
PMUR_01422	CDS	420				Single-stranded DNA-binding protein
PMUR_01423	CDS	4992				hypothetical protein
PMUR_01424	CDS	627				hypothetical protein
PMUR_01425	CDS	966				IS110 family transposase ISCaa14
PMUR_01426	CDS	225				hypothetical protein
PMUR_01427	CDS	1257				hypothetical protein
PMUR_01428	CDS	669				hypothetical protein
PMUR_01429	CDS	759				hypothetical protein
PMUR_01430	CDS	225				hypothetical protein
PMUR_01431	CDS	1572				hypothetical protein
PMUR_01432	CDS	1389				hypothetical protein
PMUR_01433	CDS	498				hypothetical protein
PMUR_01434	CDS	708				hypothetical protein
PMUR_01435	CDS	684				hypothetical protein
PMUR_01436	CDS	666				hypothetical protein
PMUR_01437	CDS	831				hypothetical protein
PMUR_01438	CDS	1824				hypothetical protein
PMUR_01439	CDS	2262	mutS_3			DNA mismatch repair protein MutS
PMUR_01440	CDS	1557				hypothetical protein
PMUR_01441	CDS	177				hypothetical protein
PMUR_01442	CDS	612				hypothetical protein
PMUR_01443	CDS	1683				hypothetical protein
PMUR_01444	CDS	375				hypothetical protein
PMUR_01445	CDS	255				hypothetical protein
PMUR_01446	CDS	477				hypothetical protein
PMUR_01447	CDS	483				hypothetical protein
PMUR_01448	CDS	582				hypothetical protein
PMUR_01449	CDS	1413				hypothetical protein
PMUR_01450	CDS	1458	smc_3			Chromosome partition protein Smc
PMUR_01451	CDS	846				hypothetical protein
PMUR_01452	CDS	591				hypothetical protein
PMUR_01453	CDS	402				hypothetical protein
PMUR_01454	CDS	447				hypothetical protein
PMUR_01455	CDS	1017				hypothetical protein
PMUR_01456	CDS	648				hypothetical protein
PMUR_01457	CDS	105				hypothetical protein
PMUR_01458	CDS	681				hypothetical protein
PMUR_01459	CDS	156				hypothetical protein
PMUR_01460	CDS	297				hypothetical protein
PMUR_01461	CDS	141				hypothetical protein
PMUR_01462	CDS	384				Single-stranded DNA-binding protein
PMUR_01463	CDS	258				hypothetical protein
PMUR_01464	CDS	330				hypothetical protein
PMUR_01465	CDS	201				hypothetical protein
PMUR_01466	CDS	588	xerD_3			Tyrosine recombinase XerD
PMUR_01467	CDS	330				hypothetical protein
PMUR_01468	CDS	267				hypothetical protein
PMUR_01469	CDS	900				hypothetical protein
PMUR_01470	CDS	1017				hypothetical protein
PMUR_01471	CDS	168				hypothetical protein
PMUR_01472	CDS	1338				hypothetical protein
PMUR_01473	CDS	1545	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
PMUR_01474	CDS	741	glmU	2.3.1.157		Bifunctional protein GlmU
PMUR_01475	CDS	1542	rapZ			RNase adapter protein RapZ
PMUR_01476	CDS	2058				hypothetical protein
PMUR_01477	CDS	117				hypothetical protein
PMUR_01478	CDS	2103	topB_1	5.99.1.2	COG0550	DNA topoisomerase 3
PMUR_01479	CDS	1116	ybjJ			Inner membrane protein YbjJ
PMUR_01480	CDS	648				hypothetical protein
PMUR_01481	CDS	747				hypothetical protein
PMUR_01482	CDS	807				hypothetical protein
PMUR_01483	CDS	1212	fsr			Fosmidomycin resistance protein
PMUR_01484	CDS	945				hypothetical protein
PMUR_01485	CDS	2244				hypothetical protein
PMUR_01486	CDS	636				hypothetical protein
PMUR_01487	CDS	1143	cydB	1.10.3.14	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
PMUR_01488	CDS	1584	appC	1.10.3.10	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
PMUR_01489	CDS	231				hypothetical protein
PMUR_01490	CDS	429				hypothetical protein
PMUR_01491	CDS	105				hypothetical protein
PMUR_01492	CDS	873				hypothetical protein
PMUR_01493	CDS	1515				hypothetical protein
PMUR_01494	CDS	990				hypothetical protein
PMUR_01495	CDS	1179				hypothetical protein
PMUR_01496	CDS	1308				hypothetical protein
PMUR_01497	CDS	2151				hypothetical protein
PMUR_01498	CDS	3639				hypothetical protein
PMUR_01499	CDS	1191	kbl_1	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
PMUR_01500	CDS	954				putative epimerase/dehydratase
PMUR_01501	CDS	1284	axe7A_2	3.1.1.-	COG3458	Acetyl esterase Axe7A
PMUR_01502	CDS	753				hypothetical protein
PMUR_01503	CDS	957	queG	1.17.99.6		Epoxyqueuosine reductase
PMUR_01504	CDS	612	pgdA	3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
PMUR_01505	CDS	3381				hypothetical protein
PMUR_01506	CDS	462				hypothetical protein
PMUR_01507	CDS	927				hypothetical protein
PMUR_01508	CDS	1269	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
PMUR_01509	CDS	966				hypothetical protein
PMUR_01510	CDS	594	lemA		COG1704	Protein LemA
PMUR_01511	CDS	153				hypothetical protein
PMUR_01512	CDS	255				hypothetical protein
PMUR_01513	CDS	237				hypothetical protein
PMUR_01514	CDS	1593	nadB	1.4.3.16	COG0029	L-aspartate oxidase
PMUR_01515	CDS	402				hypothetical protein
PMUR_01516	CDS	1314				hypothetical protein
PMUR_01517	CDS	1248				hypothetical protein
PMUR_01518	misc_RNA	199				Cobalamin
PMUR_01519	CDS	2073	btuB_2			Vitamin B12 transporter BtuB
PMUR_01520	CDS	1215				hypothetical protein
PMUR_01521	CDS	1797				hypothetical protein
PMUR_01522	CDS	879	araC_2			Arabinose operon regulatory protein
PMUR_01523	CDS	735	vldH	3.1.3.101		Validoxylamine A 7'-phosphate phosphatase
PMUR_01524	CDS	1362	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
PMUR_01525	CDS	996	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
PMUR_01526	CDS	1734	lysS	6.1.1.6		Lysine--tRNA ligase
PMUR_01527	CDS	411		3.1.2.-	COG2050	Putative esterase
PMUR_01528	CDS	1140	menF	5.4.4.2		Isochorismate synthase MenF
PMUR_01529	CDS	1716	menD	2.2.1.9		2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
PMUR_01530	CDS	828	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
PMUR_01531	CDS	1032	menC	4.2.1.113		o-succinylbenzoate synthase
PMUR_01532	CDS	1044	menE	6.2.1.26		2-succinylbenzoate--CoA ligase
PMUR_01533	CDS	3009				hypothetical protein
PMUR_01534	CDS	399				hypothetical protein
PMUR_01535	CDS	447				hypothetical protein
PMUR_01536	CDS	2061	pat	2.3.1.-	COG0454	Protein lysine acetyltransferase Pat
PMUR_01537	CDS	1047	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
PMUR_01538	CDS	714	trpF	5.3.1.24		N-(5'-phosphoribosyl)anthranilate isomerase
PMUR_01539	CDS	4809				hypothetical protein
PMUR_01540	CDS	1770				hypothetical protein
PMUR_01541	CDS	3474				hypothetical protein
PMUR_01542	CDS	2031	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
PMUR_01543	CDS	1305				hypothetical protein
PMUR_01544	CDS	1440	aldA	1.2.1.22	COG1012	Lactaldehyde dehydrogenase
PMUR_01545	CDS	351				hypothetical protein
PMUR_01546	CDS	468				hypothetical protein
PMUR_01547	CDS	1560				hypothetical protein
PMUR_01548	CDS	1539				hypothetical protein
PMUR_01549	CDS	177				hypothetical protein
PMUR_01550	CDS	1362				hypothetical protein
PMUR_01551	CDS	966				hypothetical protein
PMUR_01552	CDS	384	crcB		COG0239	Putative fluoride ion transporter CrcB
PMUR_01553	CDS	252				hypothetical protein
PMUR_01554	CDS	1008				hypothetical protein
PMUR_01555	CDS	147				hypothetical protein
PMUR_01556	CDS	444				hypothetical protein
PMUR_01557	CDS	936				hypothetical protein
PMUR_01558	CDS	270				hypothetical protein
PMUR_01559	CDS	990				hypothetical protein
PMUR_01560	CDS	1110				hypothetical protein
PMUR_01561	CDS	1020				hypothetical protein
PMUR_01562	CDS	216				hypothetical protein
PMUR_01563	CDS	186				hypothetical protein
PMUR_01564	CDS	555				hypothetical protein
PMUR_01565	CDS	945				hypothetical protein
PMUR_01566	CDS	180				hypothetical protein
PMUR_01567	CDS	204				hypothetical protein
PMUR_01568	CDS	144				hypothetical protein
PMUR_01569	CDS	1236	xerC_5			Tyrosine recombinase XerC
PMUR_01570	CDS	144				hypothetical protein
PMUR_01571	CDS	909				hypothetical protein
PMUR_01572	CDS	3657				hypothetical protein
PMUR_01573	CDS	552				hypothetical protein
PMUR_01574	CDS	1197				hypothetical protein
PMUR_01575	CDS	612				hypothetical protein
PMUR_01576	CDS	1266				hypothetical protein
PMUR_01577	CDS	369	yybR		COG1733	putative HTH-type transcriptional regulator YybR
PMUR_01578	CDS	894				hypothetical protein
PMUR_01579	CDS	657				hypothetical protein
PMUR_01580	CDS	1209				hypothetical protein
PMUR_01581	CDS	645	btuD_3	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
PMUR_01582	CDS	1386				hypothetical protein
PMUR_01583	CDS	750	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
PMUR_01584	CDS	576				hypothetical protein
PMUR_01585	CDS	1245	nupG			Nucleoside permease NupG
PMUR_01586	CDS	204				hypothetical protein
PMUR_01587	CDS	948				hypothetical protein
PMUR_01588	CDS	642	lspA	3.4.23.36		Lipoprotein signal peptidase
PMUR_01589	CDS	381	dksA			RNA polymerase-binding transcription factor DksA
PMUR_01590	CDS	3567	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
PMUR_01591	CDS	2550	lon2	3.4.21.53	COG0466	Lon protease 2
PMUR_01592	CDS	1128	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
PMUR_01593	CDS	132				hypothetical protein
PMUR_01594	CDS	1119				hypothetical protein
PMUR_01595	CDS	1308	deaD_2	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
PMUR_01596	CDS	702	sbcD		COG0420	Nuclease SbcCD subunit D
PMUR_01597	CDS	510				hypothetical protein
PMUR_01598	CDS	3399				hypothetical protein
PMUR_01599	CDS	1749	pgcA	5.4.2.2		Phosphoglucomutase
PMUR_01600	CDS	1212				hypothetical protein
PMUR_01601	CDS	1158				hypothetical protein
PMUR_01602	CDS	2604	gyrA_1	5.99.1.3	COG0188	DNA gyrase subunit A
PMUR_01603	CDS	1611				hypothetical protein
PMUR_01604	CDS	1209				hypothetical protein
PMUR_01605	CDS	2469	cdr	1.8.1.14		Coenzyme A disulfide reductase
PMUR_01606	CDS	354				hypothetical protein
PMUR_01607	CDS	4170	cas9	3.1.-.-		CRISPR-associated endonuclease Cas9
PMUR_01608	CDS	948	cas1_1	3.1.-.-		CRISPR-associated endonuclease Cas1
PMUR_01609	CDS	333	cas2_1	3.1.-.-		CRISPR-associated endoribonuclease Cas2
	repeat_region	660				
PMUR_01610	CDS	1299				hypothetical protein
PMUR_01611	CDS	1425				hypothetical protein
PMUR_01612	CDS	1314				hypothetical protein
PMUR_01613	CDS	471				hypothetical protein
PMUR_01614	CDS	405				hypothetical protein
PMUR_01615	CDS	1299				hypothetical protein
PMUR_01616	CDS	525	ybdM		COG1475	putative protein YbdM
PMUR_01617	CDS	642				hypothetical protein
PMUR_01618	CDS	1776	pnp_1	2.7.7.8		Polyribonucleotide nucleotidyltransferase
PMUR_01619	CDS	2394				hypothetical protein
PMUR_01620	CDS	405				hypothetical protein
PMUR_01621	CDS	1566	pccB	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
PMUR_01622	CDS	168				hypothetical protein
PMUR_01623	CDS	429				hypothetical protein
PMUR_01624	CDS	144				hypothetical protein
PMUR_01625	CDS	342	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
PMUR_01626	CDS	861	panC	6.3.2.1	COG0414	Pantothenate synthetase
PMUR_01627	CDS	807	glgA	2.4.1.21		Glycogen synthase
PMUR_01628	CDS	1470				hypothetical protein
PMUR_01629	CDS	129				hypothetical protein
PMUR_01630	CDS	2427	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
PMUR_01631	CDS	1275				hypothetical protein
PMUR_01632	CDS	1302	thrC	4.2.3.1	COG0498	Threonine synthase
PMUR_01633	CDS	1215	chuR	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
PMUR_01634	CDS	162				hypothetical protein
PMUR_01635	CDS	342				hypothetical protein
PMUR_01636	CDS	216				hypothetical protein
PMUR_01637	CDS	258				hypothetical protein
PMUR_01638	CDS	429				hypothetical protein
PMUR_01639	CDS	1284				hypothetical protein
PMUR_01640	CDS	258				hypothetical protein
PMUR_01641	CDS	231				hypothetical protein
PMUR_01642	CDS	249				hypothetical protein
PMUR_01643	CDS	315				hypothetical protein
PMUR_01644	CDS	171				hypothetical protein
PMUR_01645	CDS	939				hypothetical protein
PMUR_01646	CDS	1038				hypothetical protein
PMUR_01647	CDS	528				hypothetical protein
PMUR_01648	CDS	504				hypothetical protein
PMUR_01649	CDS	879	dnaG_2	2.7.7.-		DNA primase
PMUR_01650	CDS	576				hypothetical protein
PMUR_01651	CDS	987				hypothetical protein
PMUR_01652	CDS	1356				hypothetical protein
PMUR_01653	CDS	309				hypothetical protein
PMUR_01654	CDS	624				hypothetical protein
PMUR_01655	CDS	1005				hypothetical protein
PMUR_01656	CDS	630				hypothetical protein
PMUR_01657	CDS	381				hypothetical protein
PMUR_01658	CDS	2505				hypothetical protein
PMUR_01659	CDS	333				hypothetical protein
PMUR_01660	CDS	312				hypothetical protein
PMUR_01661	CDS	741				hypothetical protein
PMUR_01662	CDS	351				hypothetical protein
PMUR_01663	CDS	450				hypothetical protein
PMUR_01664	CDS	756				hypothetical protein
PMUR_01665	CDS	426				hypothetical protein
PMUR_01666	CDS	1251				hypothetical protein
PMUR_01667	CDS	1167				hypothetical protein
PMUR_01668	CDS	1818	ltrA		COG3344	Group II intron-encoded protein LtrA
PMUR_01669	CDS	1011				hypothetical protein
PMUR_01670	CDS	1782	rep_2	3.6.4.12		ATP-dependent DNA helicase Rep
PMUR_01671	CDS	1782	recF_1			DNA replication and repair protein RecF
PMUR_01672	CDS	1131			COG1373	putative protein
PMUR_01673	CDS	618				hypothetical protein
PMUR_01674	CDS	585				hypothetical protein
PMUR_01675	CDS	1323	zraR_2		COG2204	Transcriptional regulatory protein ZraR
PMUR_01676	CDS	2310	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
PMUR_01677	CDS	1314				hypothetical protein
PMUR_01678	CDS	3156	mdtC_2		COG0841	Multidrug resistance protein MdtC
PMUR_01679	CDS	1062	mdtA_3			Multidrug resistance protein MdtA
PMUR_01680	CDS	426				hypothetical protein
PMUR_01681	CDS	924				hypothetical protein
PMUR_01682	CDS	5805				hypothetical protein
PMUR_01683	CDS	453				hypothetical protein
PMUR_01684	CDS	2091	topB_2	5.99.1.2	COG0550	DNA topoisomerase 3
PMUR_01685	CDS	1638				hypothetical protein
PMUR_01686	CDS	357				hypothetical protein
PMUR_01687	CDS	258				hypothetical protein
PMUR_01688	CDS	207				hypothetical protein
PMUR_01689	CDS	1014				hypothetical protein
PMUR_01690	CDS	363				hypothetical protein
PMUR_01691	CDS	1236	xerC_6			Tyrosine recombinase XerC
PMUR_01692	CDS	1377	atsA	3.1.6.1	COG3119	Arylsulfatase
PMUR_01693	CDS	1320				hypothetical protein
PMUR_01694	misc_RNA	372				RNaseP_bact_a
PMUR_01695	misc_RNA	368				RNaseP_arch
PMUR_01696	misc_RNA	357				RNaseP_bact_b
PMUR_01697	CDS	138				hypothetical protein
PMUR_01698	CDS	1449	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
PMUR_01699	CDS	123				hypothetical protein
PMUR_01700	CDS	864	sigA_1			RNA polymerase sigma factor SigA
PMUR_01701	CDS	459				hypothetical protein
PMUR_01702	CDS	936				hypothetical protein
PMUR_01703	CDS	462				hypothetical protein
PMUR_01704	CDS	270				hypothetical protein
PMUR_01705	CDS	1317	dapL_2	2.6.1.83		LL-diaminopimelate aminotransferase
PMUR_01706	CDS	648				hypothetical protein
PMUR_01707	CDS	1596				hypothetical protein
PMUR_01708	CDS	2385		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
PMUR_01709	CDS	1230	hutI	3.5.2.7	COG1228	Imidazolonepropionase
PMUR_01710	CDS	1497	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
PMUR_01711	CDS	2022	hutU	4.2.1.49	COG2987	Urocanate hydratase
PMUR_01712	CDS	1704				hypothetical protein
PMUR_01713	CDS	1974				hypothetical protein
PMUR_01714	CDS	2469				hypothetical protein
PMUR_01715	CDS	1200				hypothetical protein
PMUR_01716	CDS	2616				hypothetical protein
PMUR_01717	CDS	357	yjbR		COG2315	putative protein YjbR
PMUR_01718	CDS	726	pflA	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
PMUR_01719	CDS	2397	pflB	2.3.1.54	COG1882	Formate acetyltransferase
PMUR_01720	CDS	672				hypothetical protein
PMUR_01721	CDS	576				hypothetical protein
PMUR_01722	CDS	603	xerC_7			Tyrosine recombinase XerC
PMUR_01723	CDS	96				hypothetical protein
PMUR_01724	CDS	249				hypothetical protein
PMUR_01725	CDS	519				hypothetical protein
PMUR_01726	CDS	327				hypothetical protein
PMUR_01727	CDS	306				hypothetical protein
PMUR_01728	CDS	282				hypothetical protein
PMUR_01729	CDS	246				hypothetical protein
PMUR_01730	CDS	804				hypothetical protein
PMUR_01731	CDS	336				hypothetical protein
PMUR_01732	CDS	234				hypothetical protein
PMUR_01733	CDS	1704				hypothetical protein
PMUR_01734	CDS	1065				hypothetical protein
PMUR_01735	CDS	1071	iolG_2	1.1.1.18		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
PMUR_01736	CDS	123				hypothetical protein
PMUR_01737	CDS	2568	clpC_2		COG0542	Negative regulator of genetic competence ClpC/MecB
PMUR_01738	CDS	114				hypothetical protein
PMUR_01739	CDS	2463	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
PMUR_01740	CDS	732			COG0217	putative transcriptional regulatory protein
PMUR_01741	CDS	678				hypothetical protein
PMUR_01742	CDS	1359				hypothetical protein
PMUR_01743	CDS	258				hypothetical protein
PMUR_01744	CDS	2640	valS	6.1.1.9		Valine--tRNA ligase
PMUR_01745	CDS	858	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
PMUR_01746	CDS	648				hypothetical protein
PMUR_01747	CDS	918	rbn_1	3.1.-.-	COG1234	Ribonuclease BN
PMUR_01748	CDS	1116	wbpI	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
PMUR_01749	CDS	1134				hypothetical protein
PMUR_01750	CDS	1032	hmuU		COG0609	Hemin transport system permease protein HmuU
PMUR_01751	CDS	690	srrA		COG0745	Transcriptional regulatory protein SrrA
PMUR_01752	CDS	1440	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
PMUR_01753	CDS	2259				hypothetical protein
PMUR_01754	CDS	591				hypothetical protein
PMUR_01755	CDS	507	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
PMUR_01756	CDS	1101				hypothetical protein
PMUR_01757	CDS	870				hypothetical protein
PMUR_01758	CDS	1194	lacZ_3	3.2.1.23		Beta-galactosidase
PMUR_01759	CDS	1314				hypothetical protein
PMUR_01760	CDS	1590				hypothetical protein
PMUR_01761	CDS	432				hypothetical protein
PMUR_01762	CDS	582	wecA	2.7.8.40		UDP-N-acetylgalactosamine-undecaprenyl-phosphate N-acetylgalactosaminephosphotransferase
PMUR_01763	CDS	1134	tagO	2.7.8.33	COG0472	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase
PMUR_01764	CDS	1152				Outer membrane protein 41
PMUR_01765	CDS	795				hypothetical protein
PMUR_01766	CDS	1065	kdsA_1	2.5.1.55		2-dehydro-3-deoxyphosphooctonate aldolase
PMUR_01767	CDS	1164	dapL_3	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
PMUR_01768	CDS	843	pheA		COG0077	P-protein
PMUR_01769	CDS	2409		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
PMUR_01770	CDS	708				hypothetical protein
PMUR_01771	CDS	747	ppm1	2.4.1.-		Polyprenol monophosphomannose synthase
PMUR_01772	CDS	399				hypothetical protein
PMUR_01773	CDS	3375	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
PMUR_01774	CDS	1962	rhaS_1			HTH-type transcriptional activator RhaS
PMUR_01775	CDS	237				hypothetical protein
PMUR_01776	CDS	2433				hypothetical protein
PMUR_01777	CDS	426				hypothetical protein
PMUR_01778	CDS	2931				hypothetical protein
PMUR_01779	CDS	1800	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
PMUR_01780	CDS	1716	ilvB_2	2.2.1.6	COG0028	Acetolactate synthase large subunit
PMUR_01781	CDS	552	ilvH	2.2.1.6	COG0440	Putative acetolactate synthase small subunit
PMUR_01782	CDS	762				hypothetical protein
PMUR_01783	CDS	1050		1.1.1.382	COG0059	Ketol-acid reductoisomerase (NAD(+))
PMUR_01784	CDS	138				hypothetical protein
PMUR_01785	CDS	1737	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
PMUR_01786	CDS	1929	srmB	3.6.4.13		ATP-dependent RNA helicase SrmB
PMUR_01787	CDS	201				hypothetical protein
PMUR_01788	CDS	429				hypothetical protein
PMUR_01789	CDS	3453				hypothetical protein
PMUR_01790	CDS	861				hypothetical protein
PMUR_01791	CDS	456				hypothetical protein
PMUR_01792	CDS	531				hypothetical protein
PMUR_01793	CDS	456				hypothetical protein
PMUR_01794	CDS	1203				hypothetical protein
PMUR_01795	CDS	627				hypothetical protein
PMUR_01796	CDS	771	rbn_2	3.1.26.11		Ribonuclease BN
PMUR_01797	CDS	1014	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
PMUR_01798	CDS	846				hypothetical protein
PMUR_01799	CDS	1062	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
PMUR_01800	CDS	1218	mdtG			Multidrug resistance protein MdtG
PMUR_01801	CDS	270				hypothetical protein
PMUR_01802	tRNA	86				tRNA-Ser(tga)
PMUR_01803	CDS	207				hypothetical protein
PMUR_01804	CDS	1089				hypothetical protein
PMUR_01805	CDS	1491				hypothetical protein
PMUR_01806	CDS	1086				hypothetical protein
PMUR_01807	CDS	1518				hypothetical protein
PMUR_01808	CDS	267				hypothetical protein
PMUR_01809	CDS	609				hypothetical protein
PMUR_01810	CDS	1338				hypothetical protein
PMUR_01811	CDS	2517				hypothetical protein
PMUR_01812	tmRNA	398	ssrA			transfer-messenger RNA, SsrA
